split,rep,model_name,metric,value
validation,30,signal_interactions,accuracy,0.643332991698268
validation,31,baseline,log_loss,0.650112075482598
validation,31,baseline,brier_score,0.22885071376575453
validation,31,baseline,accuracy,0.6251276813074566
validation,31,full_formatting,log_loss,0.6384019055178533
validation,31,full_formatting,brier_score,0.22351566636537373
validation,31,full_formatting,accuracy,0.6361593462717058
validation,31,signal_interactions,log_loss,0.6403232891982565
validation,31,signal_interactions,brier_score,0.22427209105711965
validation,31,signal_interactions,accuracy,0.6408580183861082
validation,32,baseline,log_loss,0.6455726947404204
validation,32,baseline,brier_score,0.2269813332708239
validation,32,baseline,accuracy,0.6297616622530047
validation,32,full_formatting,log_loss,0.6371371604637573
validation,32,full_formatting,brier_score,0.22287751989284177
validation,32,full_formatting,accuracy,0.6382155225096761
validation,32,signal_interactions,log_loss,0.6390864548056244
validation,32,signal_interactions,brier_score,0.22390111979940802
validation,32,signal_interactions,accuracy,0.6404563047463842
validation,33,baseline,log_loss,0.6432060074338761
validation,33,baseline,brier_score,0.22585424238041935
validation,33,baseline,accuracy,0.6311868558016124
validation,33,full_formatting,log_loss,0.635397182276005
validation,33,full_formatting,brier_score,0.22176072751490788
validation,33,full_formatting,accuracy,0.6404735177058883
validation,33,signal_interactions,log_loss,0.6366724800533334
validation,33,signal_interactions,brier_score,0.2224361432375917
validation,33,signal_interactions,accuracy,0.6435350545974079
validation,34,baseline,log_loss,0.6485437489257707
validation,34,baseline,brier_score,0.22841521377275192
validation,34,baseline,accuracy,0.6186889250814332
validation,34,full_formatting,log_loss,0.6417755054696008
validation,34,full_formatting,brier_score,0.2249801349140313
validation,34,full_formatting,accuracy,0.6286644951140065
validation,34,signal_interactions,log_loss,0.6398691046452469
validation,34,signal_interactions,brier_score,0.224370032605508
validation,34,signal_interactions,accuracy,0.6365024429967426
validation,35,baseline,log_loss,0.6454661775665064
validation,35,baseline,brier_score,0.22693235938139183
validation,35,baseline,accuracy,0.6258156606851549
validation,35,full_formatting,log_loss,0.6384815267540018
validation,35,full_formatting,brier_score,0.22367713496230562
validation,35,full_formatting,accuracy,0.6352977161500816
